성별,연령대,직무 역할,전반적 만족도,타인 추천의사
남성,50대,기획자,5,4
여성,30대,디자이너,3,2
여성,40대,개발자,3,3
여성,40대,개발자,4,5
남성,30대,마케터,5,4
남성,40대,기획자,3,1
남성,20대,개발자,4,3
여성,20대,디자이너,5,4
여성,20대,기획자,3,1
여성,20대,기획자,5,3
남성,20대,개발자,4,4
여성,20대,기획자,4,4
여성,40대,마케터,4,4
남성,20대,마케터,4,3
남성,20대,디자이너,2,5
남성,30대,마케터,5,3
남성,20대,마케터,4,4
여성,40대,기획자,3,5
여성,20대,마케터,1,4
남성,50대,개발자,4,5
여성,30대,마케터,4,4
남성,20대,마케터,1,4
남성,20대,개발자,4,2
남성,40대,기획자,3,4
여성,30대,기획자,4,3
여성,30대,개발자,3,3
남성,30대,마케터,4,5
여성,20대,마케터,4,4
여성,20대,기획자,5,5
남성,20대,개발자,3,4
여성,40대,개발자,4,5
남성,30대,기획자,3,4
남성,20대,기획자,5,4
여성,20대,개발자,5,4
여성,20대,마케터,4,3
여성,20대,개발자,4,5
남성,30대,개발자,5,3
남성,30대,디자이너,4,2
여성,40대,개발자,4,4
여성,20대,마케터,3,3
남성,20대,마케터,2,5
여성,30대,개발자,5,5
남성,30대,개발자,5,5
여성,30대,개발자,4,4
남성,30대,개발자,4,1
여성,20대,기획자,4,5
남성,30대,디자이너,5,4
여성,20대,개발자,5,5
여성,20대,기획자,5,5
남성,20대,개발자,5,5
